parametername	parametervalue	parameterxposition	parameteryposition
tempo	78.301888	59.133762	131.436630
transpose	0.801303	220.245743	367.636169
step0Pitch	15.413374	68.787010	207.015717
step0Cutoff	1043.033691	985.396667	387.909607
step1Pitch	36.053810	618.000000	81.000000
step1Cutoff	500.000000	705.564697	568.466248
step2Pitch	41.638538	444.403168	345.775757
step2Cutoff	1016.282043	322.000000	51.000000
step3Pitch	53.636364	201.000000	42.000000
step3Cutoff	500.000000	1165.478394	425.401611
step4Pitch	39.907120	802.359070	466.603119
step4Cutoff	500.000000	803.631226	645.929871
step5Pitch	12.426832	531.207581	335.956421
step5Cutoff	1017.777771	338.030334	526.272888
step6Pitch	37.925533	944.014893	461.524841
step6Cutoff	500.000000	475.000000	83.000000
step7Pitch	71.121552	1117.473999	67.620903
step7Cutoff	928.756470	631.780945	577.234253
