parametername	parametervalue	parameterxposition	parameteryposition
tempo	63.157894	29.000000	613.000000
transpose	0.000000	1910.281494	244.934891
step0Pitch	25.528854	1913.380615	900.642456
step0Cutoff	692.941162	1347.000000	237.000000
step0Glide	0.000000	1147.436646	711.463196
step1Pitch	25.789474	1483.000000	908.000000
step1Cutoff	476.495331	1663.000000	281.000000
step1Glide	0.023707	267.000000	505.000000
step2Pitch	33.599998	554.047974	909.344482
step2Cutoff	377.083344	1502.487549	221.455795
step2Glide	0.000000	1033.000000	549.000000
step3Pitch	34.532375	473.530029	788.402405
step3Cutoff	1385.666626	399.000000	124.000000
step3Glide	0.000000	697.000000	511.000000
step4Pitch	26.770731	1594.000000	847.000000
step4Cutoff	590.228027	1191.000000	303.000000
step4Glide	0.000000	1275.000000	556.000000
step5Pitch	26.242424	1264.000000	865.000000
step5Cutoff	314.375000	1449.335205	220.109436
step5Glide	0.000000	708.300964	662.928711
step6Pitch	33.125477	986.000000	919.000000
step6Cutoff	1203.806030	662.000000	160.000000
step6Glide	0.014000	459.000000	513.000000
step7Pitch	27.342222	751.103516	901.824585
step7Cutoff	1325.112549	929.000000	213.000000
step7Glide	0.031487	832.000000	633.000000
